spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms_energy,file
1137.4279514822354,1752.696523041551,1955.5893342391305,-647.727,160.7925,62.886368,0.8875045,-7.2589808,5.3109,12.044953,7.862293,0.8520175,0.963594,5.69597,4.5408373,-2.379768,0.0079602515,01_eq_bell2_2500_-8.wav
1152.7340545190125,1651.8252471797678,1918.6708135190215,-637.742,164.61441,53.104404,-5.998194,-3.2937531,10.338836,10.586833,4.562633,1.0894984,2.954073,6.022502,3.4955559,-2.8554134,0.008242788,01_eq_bell3_4000_+0.wav
1232.2693728371312,1573.5966054304854,1859.3452785326087,-628.0823,165.83472,42.57257,-7.2296777,2.7228403,9.587793,7.3147616,6.0852666,2.360573,1.536498,6.0044146,4.3615913,-3.348013,0.00857147,01_eq_bell3_4000_+12.wav
1174.919342154583,1629.6893593332488,1920.980171535326,-635.07764,164.97101,50.168518,-6.4239774,-1.5651597,10.267918,9.599454,4.8534846,1.5432016,2.6546764,5.9032264,3.6926978,-2.8791041,0.008317216,01_eq_bell3_4000_+4.wav
1201.498341324385,1603.6193777914173,1897.324855638587,-631.9106,165.35127,46.691772,-6.8020735,0.4489205,10.014663,8.494589,5.353235,1.9850264,2.1920063,5.874188,3.974551,-3.0163684,0.008420738,01_eq_bell3_4000_+8.wav
1104.322571851974,1707.1957095836813,1895.6084408967392,-644.74774,162.88826,60.237476,-3.3996398,-6.806379,9.266492,12.434749,4.83304,0.29466358,2.9863565,6.1962333,3.4241447,-2.7893815,0.008055436,01_eq_bell3_4000_-12.wav
1134.0538068613123,1671.3731014802013,1914.2393427309785,-640.1358,164.19728,55.688766,-5.4138303,-4.757374,10.204438,11.421092,4.4717026,0.68901825,3.0992053,6.1558475,3.3874176,-2.8751981,0.0081812125,01_eq_bell3_4000_-4.wav
1118.287359482948,1689.3770262188211,1906.125382133152,-642.4138,163.64911,58.026512,-4.5813227,-5.9297733,9.850583,12.041779,4.569374,0.41838697,3.0989487,6.220822,3.3747835,-2.8612382,0.008121768,01_eq_bell3_4000_-8.wav
1152.7340545190125,1651.8252471797678,1918.6708135190215,-637.742,164.61441,53.104404,-5.998194,-3.2937531,10.338836,10.586833,4.562633,1.0894984,2.954073,6.022502,3.4955559,-2.8554134,0.008242788,01_eq_hishelf_10000_+0.wav
1693.6255569947846,2608.457422200837,2828.1209663722825,-637.64087,164.57817,53.020767,-5.95629,-3.2622502,10.315748,10.575345,4.572162,1.0975416,2.9407558,6.0247726,3.5038104,-2.8662555,0.008244146,01_eq_hishelf_10000_+12.wav
1284.9590061557558,1922.0302948547485,2112.0639436141305,-637.71484,164.60422,53.08298,-5.9872594,-3.2855802,10.332589,10.583963,4.5651026,1.0912831,2.9507651,6.0230327,3.497696,-2.8581226,0.008243112,01_eq_hishelf_10000_+4.wav
1462.9783941307726,2242.3500960429465,2346.182914402174,-637.6827,164.59254,53.056816,-5.9739876,-3.275808,10.325253,10.580379,4.568087,1.0938162,2.9466305,6.023769,3.500276,-2.8615181,0.00824353,01_eq_hishelf_10000_+8.wav
936.30897248884,1103.008899346462,1522.0541779891305,-637.8377,164.64635,53.186275,-6.034466,-3.3302314,10.363532,10.6001005,4.5495996,1.0846984,2.966068,6.0190835,3.48992,-2.8469317,0.008241596,01_eq_hishelf_10000_-12.wav
1055.410816204707,1426.4031769937997,1737.230171535326,-637.769,164.62454,53.12594,-6.008833,-3.3023899,10.345197,10.589881,4.5598407,1.0879086,2.9573083,6.021805,3.49371,-2.8528748,0.008242472,01_eq_hishelf_10000_-4.wav
985.9167090737324,1245.499856810559,1602.1327275815215,-637.7994,164.6349,53.151478,-6.02044,-3.31357,10.35303,10.593948,4.555761,1.0863988,2.9610708,6.0206633,3.4919274,-2.85023,0.0082421,01_eq_hishelf_10000_-8.wav
1152.7340545190125,1651.8252471797678,1918.6708135190215,-637.742,164.61441,53.104404,-5.998194,-3.2937531,10.338836,10.586833,4.562633,1.0894984,2.954073,6.022502,3.4955559,-2.8554134,0.008242788,01_eq_loshelf_80_+0.wav
941.9202224210334,1540.7182975711034,1586.2168817934785,-612.70917,151.5527,56.062626,1.4293511,0.006878397,11.740227,13.230772,7.6788216,3.6587403,5.296173,8.525305,6.2634954,0.051626764,0.010122488,01_eq_loshelf_80_+12.wav
1092.517207267163,1625.1742960393638,1840.5271314538045,-631.3577,161.48195,54.15218,-3.876507,-2.2893806,10.905543,11.5079975,5.5656047,1.9229163,3.7521813,6.8754616,4.3899326,-1.9490094,0.008683155,01_eq_loshelf_80_+4.wav
1021.2715150725736,1588.5562808632951,1728.8041355298913,-622.74554,156.89774,55.154694,-1.3386458,-1.2006989,11.349747,12.395797,6.607032,2.7697787,4.532604,7.718263,5.3191457,-0.97397727,0.009288862,01_eq_loshelf_80_+8.wav
1276.215702600119,1697.7002702838297,2063.9419157608695,-651.6138,170.44997,49.829247,-11.3896055,-6.144568,8.329218,7.759846,1.6675637,-1.3614194,0.5481304,3.4933732,0.9567359,-5.346928,0.0073714894,01_eq_loshelf_80_-12.wav
1202.6795255282436,1671.383361858921,1981.8036684782608,-643.707,167.5433,52.022022,-8.050492,-4.248475,9.767712,9.657751,3.5791504,0.28196013,2.163953,5.1716065,2.621105,-3.7274399,0.007902594,01_eq_loshelf_80_-4.wav
1243.0876646131487,1685.9939643020286,2028.2404891304348,-649.1738,170.17714,50.91281,-10.015103,-5.167196,9.178798,8.721464,2.6150706,-0.50187564,1.3871317,4.3332734,1.774278,-4.5593047,0.0076225814,01_eq_loshelf_80_-8.wav
